FILENAME,real_ratio,total_red,total_yellow,PLATE,TREATMENT,TREAT.ID,
'maskedImage6.png',0.009094231,641,49544,1,1,1.1,
'maskedImage13.png',0.002378121,370,65800,1,1,1.1,
'maskedImage22.png',0.12403332,33406,181772,1,1,1.1,
'maskedImage2.png',0.90526225,345395,269505,1,2,1.2,
'maskedImage15.png',0.933719972,569115,459525,1,2,1.2,
'maskedImage21.png',0.862829099,292913,244278,1,2,1.2,
'maskedImage3.png',0.914936485,388947,300447,1,3,1.3,
'maskedImage11.png',0.684461068,91858,100126,1,3,1.3, 
'maskedImage24.png',0.805024135,384958,350977,1,3,1.3,
'maskedImage14.png',0.884841231,333417,269745,1,4,1.4,
'maskedImage16.png',0.89184558,578441,494617,1,4,1.4,
'maskedImage19.png',0.960268651,459042,334484,1,4,1.4,
'maskedImage5.png',0.631385617,51910,64645,1,5,1.5,
'maskedImage9.png',0.840692557,118261,95600,1,5,1.5,
'maskedImage10.png',0.793687631,136990,126344,1,5,1.5,
'maskedImage4.png',0.209565278,18187,71433,1,6,1.6,
'maskedImage7.png',0.000220848,8,34335,1,6,1.6,
'maskedImage12.png',0,0,17167,1,6,1.6,
'maskedImage8.png',0.885154843,464620,390715,1,7,1.7,
'maskedImage20.png',0.687150189,138354,147313,1,7,1.7,
'maskedImage23.png',0.745679503,159912,157225,1,7,1.7,
'maskedImage1.png',0.564088303,124520,174904,1,8,1.8,
'maskedImage17.png',0.716773262,111370,118305,1,8,1.8,
'maskedImage18.png',0.596837487,122244,153719,1,8,1.8,
'maskedImage226.png',0.247756895,83501,224309,2,1,2.1,
'maskedImage232.png',0.485660298,126463,197251,2,1,2.1,
'maskedImage234.png',0.007619704,1337,89940,2,1,2.1,
'maskedImage219.png',0.865420242,125113,103330,2,2,2.2,
'maskedImage230.png',0.886657214,294505,228690,2,2,2.2,
'maskedImage239.png',0.774184708,143965,134055,2,2,2.2,
'maskedImage218.png',0.000437445,12,31696,2,3,2.3,
'maskedImage222.png',0.004772456,216,46935,2,3,2.3,
'maskedImage229.png',0.000451861,24,76625,2,3,2.3,
'maskedImage228.png',0.593854885,262139,347767,2,4,2.4,
'maskedImage237.png',0.592163059,118276,163654,2,4,2.4,
'maskedImage238.png',0.515468356,107001,173356,2,4,2.4,
'maskedImage220.png',0.751885859,73403,73792,2,5,2.5,
'maskedImage221.png',0.752951833,77318,75971,2,5,2.5,
